epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
107,16269,0.48629,0.87698,2.64446,0.9361,0,0.99681,0.99583,0.99489,0.92008,0.99681,0.99583,0.99489,0.94158,0.44711,0.33387,1.36434,0.82903,0,0.00036856,0.00036856,0.00036856
108,16412.8,0.49108,0.87624,2.66082,0.9371,0,0.9967,0.99583,0.99489,0.92586,0.9967,0.99583,0.99489,0.9412,0.43745,0.32962,1.35555,0.82686,0,0.000360276,0.000360276,0.000360276
109,16556.5,0.48196,0.85404,2.61751,0.93096,0,0.99657,0.99583,0.99484,0.92905,0.99657,0.99583,0.99484,0.94065,0.42996,0.32248,1.34802,0.82518,0,0.000352037,0.000352037,0.000352037
110,16700.2,0.48432,0.85975,2.61462,0.933,0,0.99657,0.99583,0.99482,0.9295,0.99657,0.99583,0.99482,0.94051,0.42739,0.32063,1.34611,0.82464,0,0.000343844,0.000343844,0.000343844
111,16843.8,0.4821,0.86055,2.6154,0.9358,0,0.99656,0.99583,0.99482,0.934,0.99656,0.99583,0.99482,0.9406,0.42105,0.31948,1.33066,0.82332,0,0.0003357,0.0003357,0.0003357
112,16987.6,0.47887,0.85221,2.55889,0.92958,0,0.99669,0.99583,0.99482,0.93266,0.99669,0.99583,0.99482,0.93927,0.42,0.3194,1.32542,0.82296,0,0.000327608,0.000327608,0.000327608
113,17131.4,0.47892,0.85853,2.57611,0.93009,0,0.9967,0.99583,0.99482,0.93537,0.9967,0.99583,0.99482,0.94158,0.41811,0.31971,1.31099,0.82288,0,0.00031957,0.00031957,0.00031957
114,17275,0.48271,0.85721,2.56991,0.93234,0,0.99672,0.99583,0.99482,0.93416,0.99672,0.99583,0.99482,0.94076,0.4199,0.31946,1.32052,0.82331,0,0.000311588,0.000311588,0.000311588
115,17418.6,0.47525,0.86131,2.5621,0.93135,0,0.99671,0.99583,0.99477,0.93379,0.99671,0.99583,0.99477,0.94229,0.42443,0.3212,1.32493,0.82417,0,0.000303665,0.000303665,0.000303665
116,17562.4,0.47407,0.8524,2.52099,0.92965,0,0.99655,0.99583,0.99474,0.93136,0.99655,0.99583,0.99474,0.94186,0.42677,0.31995,1.33121,0.82466,0,0.000295804,0.000295804,0.000295804
